LINE,LOC,LABEL,OPCODE,OPERAND,OBJECTCODE
5,1000,COPY,START,1000,141033
10,1000,FIRST,STL,RETADR,482039
15,1003,CLOOP,JSUB,RDREC,001036
20,1006,,LDA,LENGTH,281030
25,1009,,COMP,ZERO,301015
30,100C,,JEQ,ENDFIL,482061
35,100F,,JSUB,WRREC,3C1003
40,1012,,J,CLOOP,00102A
45,1015,ENDFIL,LDA,EOF,0C1039
50,1018,,STA,BUFFER,00102D
55,101B,,LDA,THREE,0C1036
60,101E,,STA,LENGTH,482061
65,1021,,JSUB,WRREC,081033
70,1024,,LDL,RETADR,4C0000
75,1027,,RSUB,,454F46
80,102A,EOF,BYTE,C'EOF',000003
85,102D,THREE,WORD,3,000000
90,1030,ZERO,WORD,0,
95,1033,RETADR,RESW,1,
100,1036,LENGTH,RESW,1,
105,1039,BUFFER,RESB,4096,
110,,.,,,
115,,.,SUBROUTINE TO READ RECORD INTO BUFFER,,
120,,.,,,
125,2039,RDREC,LDX,ZERO,041030
130,203C,,LDA,ZERO,001030
135,203F,RLOOP,TD,INPUT,E0205D
140,2042,,JEQ,RLOOP,30203F
145,2045,,RD,INPUT,D8205D
150,2048,,COMP,ZERO,281030
155,204B,,JEQ,EXIT,302057
160,204E,,STCH,BUFFER,X,549039
165,2051,,TIX,MAXLEN,2C205E
170,2054,,JLT,RLOOP,38203F
175,2057,EXIT,STX,LENGTH,101036
180,205A,,RSUB,,4C0000
185,205D,INPUT,BYTE,X'F1',F1
190,205E,MAXLEN,WORD,4096,001000
195,,.,,,
200,,.,SUBROUTINE TO WRITE RECORD FROM BUFFER,,
205,,.,,,
210,2061,WRREC,LDX,ZERO,041030
215,2064,WLOOP,TD,OUTPUT,E02079
220,2067,,JEQ,WLOOP,302064
225,206A,,LDCH,BUFFER,X,509039
230,206D,,WD,OUTPUT,DC2079
235,2070,,TIX,LENGTH,2C1036
240,2073,,JLT,WLOOP,382064
245,2076,,RSUB,,4C0000
250,2079,OUTPUT,BYTE,X'05',05
255,,,END,FIRST,
